title,artist,link
Swirlings (1989),Dorothy Black,https://collections.ed.ac.uk/art/record/21972?highlight=*:*
Riders from West Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20667?highlight=*:*
Standing Male Nude with Staff (1960),Derek Shiel,https://collections.ed.ac.uk/art/record/20815?highlight=*:*
Portrait of a Woman (1939),Olivia Cochrane,https://collections.ed.ac.uk/art/record/21132?highlight=*:*
"Metope 9, south entablature, Parthenon (1837)",NA,https://collections.ed.ac.uk/art/record/20645?highlight=*:*
Reclining Male Nude (06 NOV 1967),Sybil Erskine,https://collections.ed.ac.uk/art/record/21111?highlight=*:*
Untitled (1960),Kathleen Russell,https://collections.ed.ac.uk/art/record/99519?highlight=*:*
Reclining Male Nude (FEB 1951),L Weir,https://collections.ed.ac.uk/art/record/21223?highlight=*:*
Seated Male Nude with Blanket (1959),W Campbell,https://collections.ed.ac.uk/art/record/20972?highlight=*:*
Portrait of a Man,M Ledgerwood,https://collections.ed.ac.uk/art/record/21504?highlight=*:*
That's a Novel Concept (2007),Hannah Jasper,https://collections.ed.ac.uk/art/record/99970?highlight=*:*
Kneeling Female Nude (1957),Andrew Conkie,https://collections.ed.ac.uk/art/record/20925?highlight=*:*
Untitled - Abstract Forest Landscape (1962-1966),Laura McPherson,https://collections.ed.ac.uk/art/record/99391?highlight=*:*
Seated Male Nude (1953),Diana Douglas-Hamilton,https://collections.ed.ac.uk/art/record/20928?highlight=*:*
Untitled (1960),Kathleen Russell,https://collections.ed.ac.uk/art/record/99522?highlight=*:*
Seated Man in Period Costume (1967),Wilson,https://collections.ed.ac.uk/art/record/21267?highlight=*:*
Portrait of a Man,Jeffery S. Firth,https://collections.ed.ac.uk/art/record/21327?highlight=*:*
Seated Man in Traditional Dress (Undated but found amongst collection of ECA Diploma works from 1960s.),Barreton,https://collections.ed.ac.uk/art/record/21290?highlight=*:*
Anat (1966),Norman Orr,https://collections.ed.ac.uk/art/record/99405?highlight=*:*
Acteon (1838),Sarti,https://collections.ed.ac.uk/art/record/20582?highlight=*:*
Untitled (1966),Alistair T Hamilton,https://collections.ed.ac.uk/art/record/99843?highlight=*:*
Untitled (1976),Ruth Stiven,https://collections.ed.ac.uk/art/record/99492?highlight=*:*
Untitled (1969),John Stewart,https://collections.ed.ac.uk/art/record/22486?highlight=*:*
Step 2 (2013),Maria Hadam,https://collections.ed.ac.uk/art/record/21307?highlight=*:*
Snowy Landscape (1962),Geoffrey J Roper,https://collections.ed.ac.uk/art/record/99368?highlight=*:*
Three Views of a Standing Woman (1949),Douglas Gordon,https://collections.ed.ac.uk/art/record/21101?highlight=*:*
Reclining Female Nude (14 DEC 1952),Llewella Brayne,https://collections.ed.ac.uk/art/record/20940?highlight=*:*
Study of Three Skeletons (Circa 1961),William O. Little,https://collections.ed.ac.uk/art/record/99268?highlight=*:*
Inner Landscape (2006),Thipel,https://collections.ed.ac.uk/art/record/99990?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20729?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,https://collections.ed.ac.uk/art/record/20722?highlight=*:*
Untitled - Abstract Bridge and Ballons (1968),Alastair Burns,https://collections.ed.ac.uk/art/record/99474?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/21991?highlight=*:*
Nude Male and Horse (Circa 1963),Leon Francesco Morrocco,https://collections.ed.ac.uk/art/record/21399?highlight=*:*
Gates of Paradise (1835),Clement Pappi,https://collections.ed.ac.uk/art/record/20577?highlight=*:*
Untitled (Unknown),David C Duke,https://collections.ed.ac.uk/art/record/21987?highlight=*:*
Standing Male Nude with staff (1949-1952),Adam Robson,https://collections.ed.ac.uk/art/record/20812?highlight=*:*
Seated Female Nude (1939),Heather Measham,https://collections.ed.ac.uk/art/record/21136?highlight=*:*
Seated Nude (1957),Ruth Illingworth,https://collections.ed.ac.uk/art/record/20933?highlight=*:*
Stretching Male Nude (Circa 1953),Valerie Donaldson,https://collections.ed.ac.uk/art/record/20949?highlight=*:*
Reclining Female Nude (1960),Kenneth R Wheatley,https://collections.ed.ac.uk/art/record/20857?highlight=*:*
